id,latitude,longitude,last_scraped,description
44009,55.938,-3.19468,2024-12-14,My home is in a characterful old heritage-style Victorian building (1892) in the heart of the old town of Edinburgh. You can literally see the Edinburgh Castle from the kitchen window.  You will have a very spacious double room. <br /><br />It's in a safe and well sought after neighborhood and the street the property is on has cafes/pubs / a small supermarket at the doorstep quite literally and access to public transport too. You are only a 20mins walk to Princess Street and the Castle.
54188,55.94217,-3.20863,2024-02-18,"A first for Scotland, The Four Sisters Boatel is a luxury, four star, self catering, canal barge, accommodation located in the very heart of Edinburgh city centre and has been awarded 4 stars by the Scottish Tourist Board."
74877,55.97785,-3.17872,2024-02-19,"A luxury open spaced loft apartment with a private terrace, close to shopping and fabulous local restaurants. The flat has two bedrooms as well as a sofa bed in a quiet corner of the living area. There is also an android laptop, pc linked to the tv and a printer for your use . oh and bob the vacuuming robot."
122930,55.95851,-3.17078,2024-09-13,"Hi! I'm one of Edinburgh's most experienced and highly rated Airbnb hosts.  Come and stay in my cosy private apartment, <br /><br />Licensed and safety checked by Edinburgh Council."
142356,55.95743,-3.20036,2024-02-18,"Our cosy wee flat is tucked away in the heart of Edinburgh’s New Town. Here, you’re ideally placed to explore worlds old and new right from the doorstep or retreat from the bustle when you need it."
159769,55.93802,-3.17812,2024-02-19,"AVAILABLE FROM 28TH DECEMBER 2018 UNTIL  8THJANUARY 2019  A 2 double bedded flat with Lounge, kitchen and 2 shower rooms. Situated in the heart of Edinburgh Minimum 5 Nights.<br />Ideal location. Excellent transport links into the city.  Street Party Tickets I believe have now sold out. But the local pub has its own party and so do many other local venues. Booking advised."
186691,55.95589,-3.20701,2020-12-31,"Excellent City Centre location.  10mins from Edinburgh Castle and Holyrood Place. Quiet Georgian Terrace that has all the local amenities on the doorstep. Bus routes and train station to all parts of the city and the rest of Scotland easy to access.<br /><br /><b>The space</b><br />Large Double Bedroom <br /><br />My home is a beautiful Grade 1 Georgian property, located in a gorgeous cobbled  street in Central Edinburgh. <br /><br />Your room is a lovely double, with a very comfortable bed and a large walk in cupboard/ wardrobe.  The rest of the house has a huge living room, with a comfortable sofa and arm chair which you are welcome to use. A flat screen television, and a real coal fire, which makes it really cosy especially in the winter! The kitchen is fully equipped with all mod cons, and there is a shared bathroom and shower. The house has WiFi throughout. There is also a lovely private garden which is a sun trap and a lovely quiet space to relax in!<br />Within walking distance "
197220,55.93826,-3.188,2020-12-19,"<b>The space</b><br />Available for you to rent is a spacious and sunny 1 bedroom, newly renovated flat situated in a central and picturesque spot near the meadows in Edinburgh. This flat is suitable for one person or a couple. The neighbourhood is peaceful and there is a great deli located at the end of the street. The toilet room and shower/ bathroom are both newly renovated and very clean. The flat has central heating. A fully functional kitchen should suit all culinary needs. Other amenities include a washing machine and drying racks. The living room is large and bright. Clean bedding and towels will be provided.  <br />The flat is a short walk from the city centre and within 5 minutes walk of several bus routes. There are many place to eat and drink nearby and also grocery shops. The meadows provides an excellent place to relax or play sport including public tennis courts."
214571,55.94909,-3.19033,2024-02-19,"This three bedroom apartment has the Royal Mile literally on its doorstep. It's not good if you've got a car, but who needs one when you're already at the centre. The beds are the highest quality with stupidly expensive mattresses and great pillows. Sleeps up to six people very well."
241511,55.96497,-3.18745,2024-02-19,"* August Arts Festivals (2 guests minimum) <br />* New Years from 28 Dec - (Minimum 2 guests/2 nights) <br />* A quiet location with large private terrace garden and trees, nearby transportation and shops combine to make your stay pleasant, memorable and relaxed: your ""Home-from-Home"".<br /><br />IMPORTANT! Please note the EXACT STREET ADDRESS from your AirBnB reservation. Go ogle maps use POSTCODES which show many addresses in the same street."
311737,55.9411,-3.2069,2020-12-31,"Welcome to Braveheart CityCentre Guesthouse in Edinburgh. Now that you've chosen the Georgian elegance of Edinburgh for your visit, why not add to your enjoyment by staying with us in our splendid Georgian guest house.<br /><br /><b>The space</b><br />Room 3 A big family room with en-suite (power shower, basin and toilet), flat screen TV, tea/coffee making facility, hair dryier, radio alarm. There are two double beds and 1 single beds in this room, to accommodate up to 5 people."
